IncidntNum,Category,Descript,DayOfWeek,Date,Time,PdDistrict,Resolution,Address,X,Y,Location
050436712,ASSAULT,BATTERY,Wednesday,04/20/2005 12:00:00 AM,04:00,MISSION,NONE,18TH ST / CASTRO ST,-122.435002864271,37.7608878061245,"(37.7608878061245, -122.435002864271)"
080049078,LARCENY/THEFT,GRAND THEFT FROM A BUILDING,Sunday,01/13/2008 12:00:00 AM,18:00,PARK,NONE,1100 Block of CLAYTON ST,-122.446837820235,37.7622550270122,"(37.7622550270122, -122.446837820235)"
130366639,ASSAULT,AGGRAVATED ASSAULT WITH A KNIFE,Sunday,05/05/2013 12:00:00 AM,04:10,INGLESIDE,"ARREST, BOOKED",0 Block of SGTJOHNVYOUNG LN,-122.444707063455,37.7249307267936,"(37.7249307267936, -122.444707063455)"
030810835,DRIVING UNDER THE INFLUENCE,DRIVING WHILE UNDER THE INFLUENCE OF ALCOHOL,Tuesday,07/08/2003 12:00:00 AM,01:00,SOUTHERN,"ARREST, BOOKED",MASON ST / TURK ST,-122.408953598286,37.7832878735491,"(37.7832878735491, -122.408953598286)"
130839567,OTHER OFFENSES,TRAFFIC VIOLATION ARREST,Friday,10/04/2013 12:00:00 AM,20:53,TENDERLOIN,"ARREST, BOOKED",TURK ST / LEAVENWORTH ST,-122.414056291891,37.7827931071006,"(37.7827931071006, -122.414056291891)"
070838580,BURGLARY,"BURGLARY OF APARTMENT HOUSE, UNLAWFUL ENTRY",Tuesday,08/14/2007 12:00:00 AM,07:00,NORTHERN,NONE,3100 Block of FRANKLIN ST,-122.426730544229,37.8034674969672,"(37.8034674969672, -122.426730544229)"
080233102,DRUG/NARCOTIC,POSSESSION OF MARIJUANA,Tuesday,03/04/2008 12:00:00 AM,14:23,INGLESIDE,"ARREST, CITED",MISSION ST / PERSIA AV,-122.43597721703,37.7231288306727,"(37.7231288306727, -122.43597721703)"
060711805,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Wednesday,07/05/2006 12:00:00 AM,15:50,INGLESIDE,"ARREST, CITED",2300 Block of SAN JOSE AV,-122.447241159611,37.7201577971255,"(37.7201577971255, -122.447241159611)"
040062593,LARCENY/THEFT,GRAND THEFT FROM A BUILDING,Wednesday,12/10/2003 12:00:00 AM,09:30,INGLESIDE,NONE,0 Block of MOFFITT ST,-122.432787775164,37.7371566745272,"(37.7371566745272, -122.432787775164)"
110051822,NON-CRIMINAL,"STAY AWAY OR COURT ORDER, NON-DV RELATED",Monday,01/17/2011 12:00:00 AM,15:35,INGLESIDE,NONE,600 Block of CAMPBELL AV,-122.408761072232,37.7159000951041,"(37.7159000951041, -122.408761072232)"
060027038,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Saturday,01/07/2006 12:00:00 AM,22:00,NORTHERN,NONE,100 Block of HEMLOCK ST,-122.420815202607,37.7872360476925,"(37.7872360476925, -122.420815202607)"
110929398,LARCENY/THEFT,PETTY THEFT BICYCLE,Sunday,11/13/2011 12:00:00 AM,18:00,MISSION,NONE,3000 Block of 22ND ST,-122.416014728293,37.7555464259209,"(37.7555464259209, -122.416014728293)"
140196921,"SEX OFFENSES, FORCIBLE",ASSAULT TO RAPE WITH BODILY FORCE,Monday,02/17/2014 12:00:00 AM,14:30,INGLESIDE,COMPLAINANT REFUSES TO PROSECUTE,600 Block of LONDON ST,-122.43792838007,37.7193276406568,"(37.7193276406568, -122.43792838007)"
120287716,SUSPICIOUS OCC,INVESTIGATIVE DETENTION,Wednesday,04/11/2012 12:00:00 AM,15:10,INGLESIDE,NOT PROSECUTED,0 Block of TIFFANY AV,-122.421228786449,37.7452607746654,"(37.7452607746654, -122.421228786449)"
031026982,VEHICLE THEFT,STOLEN TRUCK,Saturday,08/30/2003 12:00:00 AM,11:00,TARAVAL,NONE,2600 Block of SLOAT BL,-122.502601064109,37.7356121084835,"(37.7356121084835, -122.502601064109)"
130287706,NON-CRIMINAL,LOST PROPERTY,Monday,04/08/2013 12:00:00 AM,15:15,NORTHERN,NONE,1600 Block of JACKSON ST,-122.422253299565,37.7940917260344,"(37.7940917260344, -122.422253299565)"
096043222,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,06/16/2009 12:00:00 AM,22:00,TARAVAL,NONE,1600 Block of GREAT HWY,-122.508797223682,37.7562590463517,"(37.7562590463517, -122.508797223682)"
060435237,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Sunday,04/23/2006 12:00:00 AM,21:00,INGLESIDE,NONE,TIFFANY AV / DUNCAN ST,-122.420131938772,37.7465750465073,"(37.7465750465073, -122.420131938772)"
140902790,OTHER OFFENSES,CONSPIRACY,Saturday,10/25/2014 12:00:00 AM,00:01,MISSION,"ARREST, BOOKED",MISSION ST / 20TH ST,-122.419052694349,37.7586324051562,"(37.7586324051562, -122.419052694349)"
106159858,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,12/15/2010 12:00:00 AM,17:45,RICHMOND,NONE,1000 Block of POINTLOBOS AV,-122.513642064265,37.7784692199467,"(37.7784692199467, -122.513642064265)"
050293374,VEHICLE THEFT,"VEHICLE, RECOVERED, AUTO",Monday,03/14/2005 12:00:00 AM,19:00,MISSION,NONE,3600 Block of 24TH ST,-122.424281984513,37.7519488485754,"(37.7519488485754, -122.424281984513)"
041430420,FRAUD,DEFRAUDING AN INNKEEPER,Friday,12/17/2004 12:00:00 AM,17:30,TENDERLOIN,"ARREST, CITED",100 Block of STOCKTON ST,-122.40642786236,37.78710945429,"(37.78710945429, -122.40642786236)"
070210483,BURGLARY,"BURGLARY OF APARTMENT HOUSE, FORCIBLE ENTRY",Tuesday,02/27/2007 12:00:00 AM,10:45,TARAVAL,NONE,800 Block of GONZALEZ DR,-122.480606348865,37.7175185873081,"(37.7175185873081, -122.480606348865)"
100587489,DRUG/NARCOTIC,SALE OF BASE/ROCK COCAINE,Saturday,06/26/2010 12:00:00 AM,08:40,TENDERLOIN,"ARREST, BOOKED",200 Block of HYDE ST,-122.415858343095,37.7830505366842,"(37.7830505366842, -122.415858343095)"
080419675,WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,Tuesday,04/22/2008 12:00:00 AM,11:02,TARAVAL,"ARREST, BOOKED",ALEMANY BL / STCHARLES AV,-122.46928727815,37.7105916517348,"(37.7105916517348, -122.46928727815)"
080906713,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Wednesday,08/27/2008 12:00:00 AM,17:20,SOUTHERN,"ARREST, BOOKED",400 Block of NATOMA ST,-122.406941270083,37.7806787734071,"(37.7806787734071, -122.406941270083)"
120633852,MISSING PERSON,MISSING ADULT,Friday,08/10/2012 12:00:00 AM,13:45,SOUTHERN,LOCATED,FOLSOM ST / COLUMBIASQUARE ST,-122.406439890677,37.7778567118034,"(37.7778567118034, -122.406439890677)"
040432708,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,04/15/2004 12:00:00 AM,15:00,SOUTHERN,NONE,900 Block of BRYANT ST,-122.406730459241,37.7726367624181,"(37.7726367624181, -122.406730459241)"
141024103,ASSAULT,"CHILD, INFLICTING INJURY RESULTING IN TRAUMATIC CONDITION",Thursday,12/04/2014 12:00:00 AM,22:00,MISSION,"ARREST, BOOKED",500 Block of POTRERO AV,-122.40710239862,37.7625579386698,"(37.7625579386698, -122.40710239862)"
